qa_id,transition
0f7fcf11-8516-4756-b791-6e76e8065b14,N->N
17b8b612-213a-4ab3-87f9-356b8cf0d7e5,N->N
20242c87-f8d7-4d10-a8d0-b0d7e525b64b,N->U
2a976a38-20f4-4eaa-870b-03955fc612e8,N->N
30ad0a48-89ef-46c4-a388-a3c872bd16b8,N->N
30be4a0e-8708-42fe-9a21-c73254c78270,N->U
361fef09-dbcc-4a68-aed2-187f9728b792,N->N
4028b70f-061e-4627-839e-9252ac387157,N->N
429b218c-086e-4f77-905e-2951ad92f5d8,N->N
53ea4267-419b-4769-817c-add406463462,N->U
580a4fee-8595-4453-8368-f52eec0a3954,N->U
62e3fe3f-f301-47f1-9773-396920861220,N->U
6c73ad56-d84c-48b7-a7d4-bbc2ffd80c79,N->N
716095fa-6f76-4f19-95e4-3c8bf079fbdd,N->N
7665e37d-29a0-4450-8d03-6539122a6b3f,N->N
778461cd-4755-498f-b77b-43cc791b42c2,U->U
7b24dbf3-dbe0-4382-9e9c-996cf614657e,N->N
888b4502-9c70-413a-8c06-69e7e97a16b2,N->N
92e4edaa-5b26-44a5-80d2-91acf53b3b9c,N->U
9a051aa3-a6b6-4e10-bb40-785cde684ad8,N->N
a294b202-3353-4fc4-be18-7abd2a36962c,N->N
afa4bf6a-c459-4173-9de9-2aac6183a4a7,N->N
b6b46633-47a1-4fd6-88c4-42a7677d7fc5,N->N
b8e85e9d-6701-4f66-885e-bdfabf03f7cd,N->N
baec8204-c6ca-4c9a-bd82-7145e2126659,U->U
bb50a272-b5c8-4f0e-8fb5-530b16d73cd9,N->N
c53f6cbe-01f4-4870-8946-f761dcf1ceba,N->N
c5eafc63-5b0b-43c8-b192-6381e5a8226e,N->N
de07dd6e-ac2f-4517-a084-e193a3d93601,N->U
e44b102b-d7e2-4a4f-bdc6-464529910081,N->N
ef912ea0-634f-4c1f-88d5-9e0543708258,N->U
